date,PRECP,DISCH,SEDM
1/31/1999,-0.814385395,-0.142520085,-3396.120889
2/28/1999,-1.006282241,-6.256281207,-2918.821249
3/31/1999,-0.659202004,-5.091651374,87.54505192
4/30/1999,1.219938042,1.752298011,2284.430609
5/31/1999,4.502625982,12.21777772,2960.886538
6/30/1999,7.399590589,32.70314828,8848.493328
7/31/1999,9.804897589,64.0545297,29087.89754
8/31/1999,9.818288476,72.689385,22044.98307
9/30/1999,6.9822115,54.11297201,13690.0976
10/31/1999,4.754916732,41.0471391,6433.750413
11/30/1999,3.564258785,35.97530685,1987.126616
12/31/1999,1.895220264,20.47205993,-2006.913906
1/31/2000,0.038947128,-4.078875084,-5594.984803
2/29/2000,-0.496720907,-12.12243448,-4630.519868
3/31/2000,0.34857167,-0.221488315,1907.53295
4/30/2000,2.04152891,8.198793397,4632.908253
5/31/2000,4.240022325,7.624038246,1408.883337
6/30/2000,7.699166053,40.17820765,10701.50545
7/31/2000,12.5902633,110.554072,41101.51079
8/31/2000,12.87001551,124.662139,37409.12118
9/30/2000,7.825923365,74.04761613,17381.93255
10/31/2000,4.172439153,40.58689529,4833.468843
11/30/2000,2.30933151,26.75471017,1643.917962
12/31/2000,0.483829382,8.4658471,-2292.786777
1/31/2001,-0.650988324,-8.455203302,-5801.142633
2/28/2001,-0.887579321,-11.21572917,-4479.976316
3/31/2001,-0.458233511,1.550655715,2036.370412
4/30/2001,1.692688099,10.18278845,4768.696268
5/31/2001,5.360429292,5.956799585,1123.84492
6/30/2001,8.788618022,39.41373745,11006.83959
7/31/2001,11.95666707,102.6584941,40228.63401
8/31/2001,11.4774175,130.9024905,40042.00843
9/30/2001,6.7685774,67.45352503,17904.16888
10/31/2001,3.213548323,28.78471864,4533.364787
11/30/2001,1.265297571,15.55917305,1402.7615
12/31/2001,-0.127738383,-0.726811646,-2539.085107
1/31/2002,-0.371443175,-11.19602557,-5489.772758
2/28/2002,-0.196273576,-10.49798431,-4139.316788
3/31/2002,0.085050393,1.377833437,1710.769083
4/30/2002,1.857003912,11.4293414,4322.594799
