date,SEDM,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
1/31/2017,643.9101365,5049.2754,-419.298,3817.6484,2713.94,2039.7632,172.94559,219.2803026
2/28/2017,144.8926462,2095.8345,-1523.0914,2042.1865,207.22307,1319.1549,-31.251547,173.4722578
3/31/2017,76.1862486,-1444.9921,-1659.6405,877.9702,-277.66934,201.91692,-35.934704,97.87346918
4/30/2017,148.6107383,-852.45276,207.4151,-202.5423,17.396059,-432.68454,-22.584665,73.38674536
5/31/2017,344.5520831,1481.9437,-566.8501,206.78632,529.09784,365.2125,144.5128,165.0835841
6/30/2017,520.5870625,3921.5427,3240.2883,2994.214,475.60437,3138.2075,634.2185,432.1410512
7/31/2017,18397.41655,17507.854,37739.566,16182.086,16650.719,15531.062,18108.871,18037.71186
8/31/2017,26401.77075,30605.717,28701.51,30163.752,30594.371,30261.707,30672.564,31009.83623
9/30/2017,32896.61457,38580.008,14953.5205,36689.418,35233.605,35580.77,37397.39,36947.71109
10/31/2017,15261.53602,23104.613,7548.541,20960.066,17267.334,21689.686,21228.127,21801.93587
11/30/2017,7180.335629,7085.1953,3015.7815,6738.9404,4542.333,8913.355,8021.235,7626.50447
12/31/2017,524.5967725,-1240.7404,1364.3763,1032.4486,-766.0467,1835.0067,341.89862,958.5833187
