0,1,2,3,4,5,6
0.001563244,0.16316138,0.22153327,0.2047691,0.29891515,0.032628767,0.11036897
0.002505075,0.20585066,0.35046268,0.2767503,0.34691516,0.06904151,0.22908652
0.409308374,0.29994485,0.5156623,0.38296238,0.43298042,0.16098048,0.42362186
0.571221231,0.35160312,0.58009094,0.5045616,0.5533326,0.28309435,0.5885991
0.637126011,0.34092987,0.49439502,0.5269603,0.62895614,0.3718026,0.7033709
0.230355776,0.29454,0.36872023,0.44223884,0.5860882,0.37693563,0.57001925
0.06889165,0.22310641,0.22639892,0.28844354,0.4145844,0.31195062,0.3298895
0.001627426,0.13922983,0.10522619,0.1498051,0.22977984,0.1704854,0.030885473
0.001117741,0.036771685,0.040807545,0.07008062,0.09241189,0.06753237,0.025942279
0,0.025514618,0.071658134,0.041098405,0.033192683,0.021647071,0.001114352
2.05E-05,-0.028472729,0.15031481,0.025697783,-0.00083049,0.011351245,-9.26E-05
5.40E-05,-0.010825664,0.21001482,0.015710188,0.008566882,0.016272271,0.003600886
9.58E-05,-0.05653815,0.20544319,0.05605363,0.08105997,0.016898343,0.007748204
0.0088202,0.14382365,0.45618266,0.21472701,0.2501424,0.23935564,0.31332567
0.444697618,0.51440686,0.7368865,0.49813914,0.51290375,0.5419036,0.58710194
0.621306451,0.6597215,0.5618342,0.7765494,0.7488688,0.7034757,0.7881551
0.734278829,0.5020944,0.3637276,0.6948908,0.66550064,0.5129161,0.5187254
0.306985884,0.26268715,0.19384024,0.33239987,0.33442158,0.2181963,0.27000692
0.132752045,0.09137669,0.12058384,0.09562517,0.11078935,0.09656624,0.11111826
0.011587816,0.02627369,0.056316823,-0.004053634,0.03638596,0.017341787,0.029631585
0.003196111,0.04254819,0.00656553,-0.023801126,-0.000581536,0.03633745,0.017005041
0.000779386,0.039407656,0.044200897,-6.32E-05,0.011674432,0.01946641,0.005556023
0.000709443,-0.001570113,0.14399807,-0.023687392,-0.026184116,0.016038785,0.001476964
0.000516675,-0.028817706,0.19446315,-0.06052845,-0.045102723,-0.012494465,0.000733897
0.00694583,-0.029698879,0.18862545,-0.060809985,-0.032985024,0.006668406,0.008024424
0.008578956,0.07268436,0.38366717,0.049501844,0.06732829,0.027859034,0.015909653
0.33752371,0.38246492,0.75743663,0.30539104,0.30781692,0.36217284,0.41773888
0.47798953,0.610552,0.6351417,0.6549254,0.64347625,0.6278834,0.6890588
0.589916349,0.6969546,0.4009223,0.79267395,0.75690866,0.76629955,0.84024644
0.268075587,0.45443743,0.21286258,0.45854017,0.469729,0.4097582,0.35404554
0.123715639,0.25062189,0.18770431,0.17591676,0.14765961,0.15207615,0.14091745
0.012653229,0.09613315,0.1106708,0.05356527,0.040829156,-0.000601908,-0.00775063
0.006091809,0.022996198,0.08865707,0.015686693,0.021358103,0.00817126,0.01976898
0.003556781,0.040623903,0.09419635,0.011880865,0.01610731,0.022548616,0.028964018
0.000596618,-0.016827382,0.11991347,0.03612411,0.042521372,0.013888119,0.012030503
5.40E-05,0.037689842,0.15767798,0.03146203,0.025385898,0.014788413,0.007179081
0.005328367,0.021299876,0.18566121,0.044008687,0.053065207,0.025552833,0.017351259
0.018088023,0.06888596,0.3348605,0.13835382,0.15202004,0.02552444,0.026990434
0.310970208,0.3089892,0.7616097,0.3467872,0.36651233,0.28438792,0.37652025
0.554489622,0.52770656,0.7161442,0.6147637,0.6314654,0.49235684,0.6220968
0.687563526,0.6427813,0.49570453,0.72446424,0.7217792,0.6363054,0.87351954
0.398773253,0.4551258,0.31751424,0.5376396,0.55096567,0.46567944,0.58718646
0.154088684,0.21184573,0.21755621,0.23423553,0.24905536,0.24872865,0.29154557
0.01240725,0.1345239,0.16104215,0.091213316,0.1151694,0.09306107,0.02090305
0.009166229,0.10903506,0.08105518,0.025883151,0.048454754,0.033340335,0.012026794
0.005057064,0.029105466,0.07954172,0.029156847,0.026259936,0.015296627,0.011583924
0.000904938,-0.030931525,0.09587312,0.03203078,0.020564135,-0.005356828,-0.003433226
0.002092102,-0.020253293,0.15541537,0.006273076,-0.015029777,-0.010965189,-0.002293713
0.010794262,-0.008759074,0.21792927,-0.001647629,0.002310734,0.009202363,0.008256093
0.024076533,0.11423418,0.37954408,0.06939069,0.08334329,0.021920362,0.010478567
0.439322466,0.3900596,0.6757364,0.2652446,0.26975206,0.30937085,0.34364605
