Date,DISCH,SEDM ,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
1/31/2014,8.587537194,144.2106772,703.7226,-4587.69,-192.41483,-1412.8718,-157.60997,-477.90717,135.9842889
2/28/2014,2.689517231,38.96954022,-714.7482,-2241.437,-71.216125,-1096.2887,-689.5458,-444.5883,78.38654419
3/31/2014,1.937052062,35.92373003,264.9323,1166.5948,-27.851387,-535.3451,-994.4654,-364.21982,29.56185938
4/30/2014,1.255016915,27.52926944,1022.42017,2525.1685,-455.68124,-566.2143,23.102736,-280.65155,35.23468601
5/31/2014,10.51298736,307.499668,1480.2423,3835.925,1089.225,428.57205,353.61826,-99.94236,62.29105776
6/30/2014,12.43626581,378.6173818,1513.7802,9144.394,3751.543,72.99908,1999.5269,313.58057,297.23617
