,0,1,2,3,4,5,6
0,0.000754978,0.030042117,0.124368705,0.163668,0.10369865,0.058253553,0.011253599
1,0.000894233,0.043398805,0.12258691,0.14360084,0.093191154,0.054969918,0.006760875
2,0.001563244,0.05294977,0.15239546,0.157098,0.11085066,0.048338514,0.006934898
3,0.002505075,0.087217376,0.3122591,0.22383718,0.17132638,0.082643054,0.06599376
4,0.409308374,0.1842281,0.56377876,0.36931142,0.3055212,0.1977771,0.28603768
5,0.571221231,0.2812253,0.5888909,0.5122459,0.45116135,0.3423248,0.47750452
6,0.637126011,0.30946735,0.41209868,0.547042,0.49806756,0.49254513,0.6851139
7,0.230355776,0.23304318,0.2173906,0.42306495,0.35716042,0.44729835,0.3735131
8,0.06889165,0.05823385,0.123425715,0.21818185,0.1285881,0.18897013,0.096475676
9,0.001627426,0.039296586,0.048041053,0.07758592,0.017008519,0.016556576,-0.005233705
10,0.001117741,0.076729685,0.029879723,0.02632312,-0.006145777,0.00013698,0.007048523
11,0,0.04120728,0.054968067,0.016350247,-0.010229131,0.019476451,-0.001395179
12,2.05E-05,0.013990127,0.16021824,0.011854831,-0.012077337,0.009989263,-0.007673776
13,5.40E-05,0.007265691,0.1874333,0.00834718,-0.008374771,0.02775215,0.008913519
14,9.58E-05,0.021496523,0.17545512,0.028239174,0.022195881,0.025971033,-0.010018451
15,0.0088202,0.2674609,0.45722958,0.18207411,0.1730389,0.27258232,0.31510064
16,0.444697618,0.5321411,0.73623854,0.5277925,0.5003552,0.5249364,0.5328601
17,0.621306451,0.6804735,0.65264493,0.7825331,0.7559082,0.65759,0.66078365
18,0.734278829,0.56012267,0.37256095,0.6431492,0.62889034,0.5580696,0.58068424
19,0.306985884,0.26874232,0.1699279,0.34692445,0.34615985,0.31679887,0.29945642
20,0.132752045,0.026959278,0.08894818,0.117047906,0.117505245,0.12594047,0.07865492
21,0.011587816,-0.003683064,0.018263906,0.013116136,0.008774599,0.01727641,-0.019096738
22,0.003196111,-0.007682066,0.005500816,-0.011507643,-0.001783045,0.00385888,-0.001683494
23,0.000779386,-0.003166232,0.039476983,-0.001030697,0.000457745,0.003080876,-0.003493888
24,0.000709443,-0.019063208,0.13019234,0.012587126,0.000387114,0.00235507,-0.015031217
25,0.000516675,0.003748573,0.1828995,0.007669216,-0.009783613,0.012737357,-0.011531582
26,0.00694583,-0.009474557,0.20465493,-0.003897073,-0.023588086,0.006755524,0.006860064
27,0.008578956,0.072137296,0.35355744,0.05798018,0.03420288,0.041509874,0.036797576
28,0.33752371,0.35827342,0.64774036,0.32156304,0.29023042,0.4146688,0.4416334
29,0.47798953,0.61513215,0.6638697,0.6744782,0.6258092,0.64285,0.714128
30,0.589916349,0.710559,0.53279173,0.7275072,0.7163957,0.73711866,0.81390065
31,0.268075587,0.5554203,0.2782741,0.51908076,0.4930579,0.4380525,0.4321164
32,0.123715639,0.24680372,0.16014197,0.28456113,0.25853756,0.21598552,0.18607438
33,0.012653229,0.0376454,0.079307936,0.11301577,0.084947415,0.038632497,0.023211353
34,0.006091809,-0.046189573,0.05318237,0.049432255,0.006889259,0.00856602,0.002292451
35,0.003556781,-0.005620439,0.049928382,0.03338065,0.005306585,0.01864636,0.001959251
36,0.000596618,0.006609369,0.12806763,0.032013994,0.004117163,0.020131454,-0.007699912
37,5.40E-05,0.025259629,0.15327793,0.030051949,-0.005427791,0.025236387,-0.006553164
38,0.005328367,0.005402114,0.17045414,0.039691523,-0.004362548,0.035105616,0.009529734
39,0.018088023,0.0900339,0.3253435,0.11563616,0.077087425,0.043821424,0.018133583
40,0.310970208,0.26579684,0.67628866,0.35395914,0.32923463,0.2924794,0.37270945
41,0.554489622,0.5151641,0.81110495,0.6515736,0.6148004,0.5322918,0.6573226
42,0.687563526,0.6024568,0.5781657,0.7490259,0.72501963,0.7381102,0.9159757
43,0.398773253,0.49171424,0.29784742,0.57618916,0.54215556,0.5522159,0.5869235
44,0.154088684,0.2260492,0.1410085,0.3012289,0.26147458,0.28489834,0.2446562
45,0.01240725,0.053324733,0.07765497,0.12571305,0.07000891,0.0626752,0.024260579
46,0.009166229,-0.009024885,0.04739979,0.039414123,-0.006812761,-0.014123854,0.000699019
47,0.005057064,-0.05189493,0.045740873,0.017455304,-0.008708665,0.005173498,-0.00355926
48,0.000904938,-0.035781708,0.09970553,0.01941673,-0.00851162,0.00911706,-0.004766045
49,0.002092102,-0.00813932,0.15457177,0.016985204,-0.018456114,0.020200863,-0.004273539
50,0.010794262,0.03529475,0.18685654,0.008941161,-0.028983654,0.028871179,0.012603628
51,0.024076533,0.097629726,0.33770406,0.055507578,0.01770795,0.0565742,-0.001643462
52,0.439322466,0.29418665,0.6029094,0.27977204,0.25386137,0.30634168,0.35089242
53,0.730751566,0.47472122,0.7030217,0.6008921,0.56738716,0.51821464,0.66222924
54,0.838047261,0.5664411,0.5540859,0.70111465,0.6776647,0.6743025,0.88790524
55,0.428353331,0.43956292,0.24287534,0.5086611,0.47331935,0.4522491,0.53729177
56,0.139681358,0.20338671,0.13506836,0.24909964,0.20639583,0.22641565,0.2102113
57,0.021413968,0.058356978,0.066149175,0.08806725,0.029752916,0.044563234,0.008546485
58,0.014671058,-2.97E-06,0.05215492,0.045025446,-0.020056957,-0.016680818,0.0107473
59,0.003211772,-0.024186905,0.049179904,0.038528,-0.00862555,0.00436774,-0.002560368
60,0.001634019,-0.030725524,0.12962018,0.03897513,-0.010867326,0.003132799,-0.007872013
61,0.003297153,-0.000262171,0.16847268,0.026298108,-0.030341094,0.013878875,-0.007398551
62,0.007796691,0.027212532,0.15478298,0.003594779,-0.053064488,0.006804057,0.017602706
63,0.011839105,0.13614263,0.33786824,0.05526045,-0.004867369,0.03289269,0.007861314
64,0.422357199,0.32692584,0.67276055,0.30110833,0.2463642,0.31740463,0.39263886
65,0.606166763,0.57549155,0.7097121,0.62898946,0.56608754,0.54607826,0.6852711
66,0.755312388,0.65955967,0.60997933,0.7416294,0.71326804,0.69741315,0.8626023
67,0.350345789,0.5502537,0.3274474,0.56912297,0.551374,0.5355308,0.6264666
