Date,DISCH,SEDM ,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
6/30/2016,34.30802914,19136.20295,19182.135,30965.979,17207.93,19445.172,17278.121,18767.334,16026.47257
7/31/2016,66.73785665,31827.06455,28534.576,27678.326,28830.344,28402.244,25989.383,29156.66,26932.63568
8/31/2016,90.88161,31827.06,28534.58,27678.33,28830.34,28402.24,25989.38,29156.66,26932.64
9/30/2016,94.38051,36499.47,27611.57,16421.04,28399.54,25285.71,24390.86,27929.5,31576.66
10/31/2016,74.41086,18658.53,14814.59,8851.739,15800.7,13485.51,12986.31,14561.6,18243.56
11/30/2016,65.76391,6087.733,6590.719,2765.94,7855.006,6628.533,6566.597,6280.039,7307.402
12/31/2016,51.13445,937.5436,5150.522,-1786.49,4687.701,3594.958,3072.965,917.8278,544.645
