Date,PRECP,TMAX,TMIN,TMEAN,DISCH,SEDM
3/31/1990,1.321827957,25.61709677,14.7716129,20.19435484,0.606935484,20.40627014
4/30/1990,1.583706093,25.98233333,15.72766667,20.855,0.404166667,12.50759913
5/31/1990,0.886824373,27.53290323,16.52225806,22.02758065,0.537935484,13.52339426
6/30/1990,0.997229391,25.66566667,15.72033333,20.693,1.359566667,23.46394941
10/31/1990,0.759222222,21.52290323,11.85741935,16.69016129,19.9303871,159.5924256
11/30/1990,0.68188172,23.058,12.313,17.6855,4.142933333,178.7542854
12/31/1990,0.129971326,24.25774194,11.20387097,17.73080645,1.93083871,173.6614022
1/31/1991,0.067928315,25.32870968,13.36129032,19.345,1.007967742,38.74567929
2/28/1991,0.094650538,26.03821429,14.20785714,20.12303571,0.530571429,16.74018381
3/31/1991,1.053467742,25.47967742,14.88032258,20.18,0.379290323,10.20688565
4/30/1991,1.234073477,26.04266667,15.00566667,20.52416667,0.443966667,9.352765009
5/31/1991,1.267057348,26.51,15.48096774,20.99548387,0.815096774,14.97214507
6/30/1991,0.834261649,25.58933333,16.12066667,20.855,14.57233333,166.8798556
10/31/1991,0.966989247,20.92516129,11.89225806,16.40870968,23.716,329.1979298
11/30/1991,1.051394265,22.31566667,12.328,17.32183333,4.828333333,349.6454296
12/31/1991,0.572039427,23.12677419,12.23774194,17.68225806,4.819806452,218.2484441
1/31/1992,0.242577061,21.6483871,8.251612903,14.95,3.044967742,66.5952365
2/29/1992,0.056021505,23.00689655,8.85862069,15.93275862,2.063827586,47.8793019
3/31/1992,0.143010753,24.78709677,11.02580645,17.90645161,2.780225806,45.14659449
4/30/1992,1.235412186,24.11666667,11.36,17.73833333,0.8416,38.06475028
5/31/1992,1.65046595,23.56774194,11.25806452,17.41290323,1.911064516,47.30919933
6/30/1992,2.800609319,23.03666667,10.50333333,16.77,2.0703,48.70330415
10/31/1992,3.220755843,21.84235055,9.846488915,15.84441973,50.69070968,396.6100528
11/30/1992,3.477924302,19.11333333,7.97,13.54166667,14.92676667,465.9204918
12/31/1992,2.253587384,20.78387097,7.648387097,14.21612903,6.398387097,474.8965959
