PRECP,TMAX,TMIN,TMEAN,DISCH,SEDM
0.075258552,0.521709786,0.468432937,0.418575799,0.007502658,
0.1002917,0.546014248,0.49950937,0.455188865,0.006278331,
0.030071599,0.584701912,0.59247192,0.539174273,0.003873959,
0.406921241,0.347251593,0.464364991,0.285191183,0.102334377,
0.392840095,0.217097862,0.42556232,0.164542037,0.39869041,
0.554813047,0.180427446,0.385549744,0.113363692,0.677922406,
0.267499337,0.241244844,0.335918761,0.129693383,0.348921814,
0.140811456,0.403824522,0.219783361,0.183121633,0.054048481,
0.005425617,0.42303712,0.223374966,0.199668735,0.029314881,
0.001909308,0.408323959,0.193489382,0.170960443,0.021894254,
0,0.463667042,0.18148561,0.20541715,0.015863365,
0.033469712,0.51564358,0.359796753,0.349819225,0.012634885,
0.024661893,0.5143982,0.462888337,0.409809607,0.012824055,
0.041431981,0.580187476,0.49950937,0.480845599,0.009311577,
0.0141607,0.622497188,0.621052331,0.584440928,0.008729026,
0.217353487,0.374218223,0.480312861,0.314862236,0.061669847,
0.545902944,0.101912261,0.359255766,0.038876399,0.3910965,
0.749721559,0.11856018,0.375260796,0.060834105,0.760723822,
0.411689207,0.208378263,0.34429188,0.109966031,0.680822939,
0.060143198,0.335433071,0.276944183,0.165555469,0.203003817,
0.019400689,0.363059617,0.252908057,0.172092109,0.034649542,
0.020047733,0.37007874,0.235502587,0.167075617,0.021599982,
0,0.459167604,0.305524594,0.275343996,0.015555576,
0.04711272,0.47555952,0.27059736,0.267009387,0.012989665,
0.010501193,0.550056243,0.485581183,0.449992208,0.010402294,
0.092235481,0.423967004,0.530519115,0.381883909,0.012312524,
0.020047733,0.613273341,0.517305439,0.516203135,0.009630991,
0.303012463,0.326329208,0.449893776,0.260930733,0.040773068,
0.741607001,0.176602924,0.413272743,0.126876127,0.341779872,
0.457120127,0.152305962,0.40126897,0.101540312,0.464207352,0.426171421
0.310411032,0.266351706,0.342393324,0.152369586,0.233273046,
0.177406523,0.302137232,0.213209866,0.102891556,0.090288585,
0.036664015,0.367244094,0.238732173,0.166856041,0.035181611,
0.000636436,0.371203599,0.23778902,0.169271389,0.022923643,
0.034004894,0.400449943,0.190917145,0.163528604,0.016505272,
0,0.615523059,0.436688265,0.470248795,0.013267158,
0.031041493,0.548706411,0.462716854,0.435466341,0.014762449,
0.021538054,0.588091489,0.597854564,0.544900167,0.010256557,
0.032617343,0.527334083,0.550458716,0.471274291,0.013957495,
0.235932113,0.41792276,0.480608191,0.347849466,0.060744218,
0.53221957,0.074915636,0.36440024,0.021648046,0.333710058,
0.296420048,0.177052869,0.313527109,0.068265943,0.529686699,
0.031238398,0.217067867,0.380786342,0.138057665,0.575190081,0.384621187
0.310739857,0.313160855,0.292663409,0.15812363,0.174525457,
0.062504653,0.372125984,0.198271838,0.146609911,0.03897477,
0.028230603,0.393925759,0.151761982,0.135490303,0.024829935,
0.010819411,0.464791901,0.290376976,0.270614644,0.017644908,
0,0.557239273,0.409475631,0.410408015,0.014129206,
0.020880403,0.565129358,0.487296007,0.462322304,0.013344452,
0.030251923,0.510678665,0.466727638,0.409286,0.013183156,
0.163404932,0.386276716,0.453285318,0.307942743,0.02800216,
0.152410501,0.313543307,0.445463812,0.248713241,0.076030627,
0.370564837,0.170303712,0.453285318,0.145793534,0.39424493,0.134567704
0.452983294,0.153205849,0.446711823,0.129071897,0.824703572,
0.121665341,0.249381327,0.380786342,0.162318115,0.613208152,
0.038504375,0.422047244,0.341821716,0.26892559,0.107270339,
0,0.369801275,0.243162137,0.171393966,0.04111876,
0.07858893,0.343307086,0.209208609,0.131436572,0.02439796,
0.027366746,0.385376828,0.258938524,0.192411432,0.016469577,
0.01716961,0.518881568,0.378465885,0.363283401,0,
0.01716961,0.62519685,0.483580554,0.505224282,0,
0.01716961,0.543224596,0.516343232,0.463042967,0,
0.040095465,0.529133858,0.564748921,0.481070806,0.027067445,
0.181347123,0.268211473,0.497737384,0.2455716,0.191386663,
0.163882259,0.071766029,0.465289091,0.078906985,0.498200146,
0.163404932,0.150348706,0.429849381,0.116961378,0.635485129,0.344202222
0.068395651,0.24008249,0.392599579,0.162318115,0.739912025,
0.003500398,0.310236221,0.238646432,0.124004734,0.128799653,
0.01002917,0.377472816,0.201815809,0.152718657,0.031256345,
0,0.38447694,0.188916517,0.15035398,0.033333908,0.000239981
0,0.397075366,0.278944811,0.213017894,0.041214821,
0.031805338,0.453915674,0.298399201,0.267189942,0.013296235,
0,0.593700787,0.4241333,0.446445194,0.008529335,
0.071821515,0.497834645,0.485259653,0.410595017,0.019171228,
0.170883055,0.358380203,0.500395362,0.314839716,0.027377008,
0.272659186,0.248218972,0.452551754,0.203857589,0.16912661,
0.342084328,0.147806524,0.424419103,0.111843543,0.688618142,
0.372792363,0.170753656,0.445568608,0.141570899,1,1
0.074314505,0.237060367,0.380195681,0.152718657,0.465161141,
0.060779634,0.324184477,0.334676613,0.191229094,0.058511139,
0,0.342369703,0.241685482,0.149926086,0.07578097,
0,0.333633296,0.248363772,0.147313683,0.083757342,
0.065976904,0.403374578,0.249221184,0.200181082,0.054976867,
0.063855839,0.486999839,0.432891154,0.371511507,0.026000047,
0.01716961,0.542182227,0.47214839,0.436141963,0,
0.01716961,0.555313086,0.559166215,0.497426482,0,
0.01716961,0.582227222,0.563891509,0.520425771,0,
0.156685229,0.498125234,0.493898082,0.415918353,0.013725347,
0.179634049,0.157705287,0.473863215,0.148496021,0.471275655,
0.173587908,0.164004499,0.483008945,0.158630346,0.897382723,
0.240206842,0.290993626,0.384330313,0.195654416,0.380134075,
0.046778043,0.29223847,0.299522707,0.146469156,0.062694266,
0,0.418387701,0.268560595,0.222881971,0.022905546,
0,0.381777278,0.248649576,0.18362835,0.047015222,
0,0.386051743,0.267512647,0.19798531,0.047416944,
0.01716961,0.51066206,0.386692961,0.361974384,0,
0.01716961,0.538807649,0.308668439,0.336994477,0,
0.01716961,0.539272591,0.146884259,0.241731817,0,
0.01716961,0.470191226,0,0.103060461,0,
0.461341819,0.433498313,0.325264131,0.267737622,0.192706426,
0.434822511,0.12935883,0.419274629,0.094953001,0.433662355,
0.388975594,0.144881889,0.356421542,0.069462357,0.392646834,0.134463732
0.199596924,0.237292838,0.359522517,0.1406757,0.252701605,
0.176054983,0.337907761,0.336677242,0.202714662,0.162664256,
0.128658076,0.354923134,0.273876552,0.178375391,0.119946076,
0.154806955,0.317660292,0.245791535,0.133801249,0.152618436,
0.122949432,0.362204725,0.278087399,0.186330836,0.113092002,
0.01716961,0.531833521,0.330685563,0.344770159,0,
0.115222695,0.437345332,0.430706793,0.332940747,0.082491442,
0.01716961,0.55647544,0.389055608,0.39776665,0,
0.10643554,0.429021372,0.309525851,0.255075345,0.062040242,
0.168911889,0.336325459,0.317880858,0.190418348,0.157580672,
0.061734288,0.186951631,0.276658378,0.053908981,0.224164727,
0.135083532,0.157480315,0.391551631,0.099682353,0.296116431,
0.03008751,0.221717285,0.344165309,0.119905963,0.199038715,
0.098810674,0.361079865,0.224070422,0.153563184,0.094533901,0.001340988
0.030909573,0.305406824,0.272104566,0.140152093,0.121360514,
0.111961853,0.338582677,0.201491898,0.123329112,0.112192891,
0,0.423397075,0.238932236,0.209133069,0.013314128,
0.01716961,0.55492029,0.339338176,0.3672169,0,
0.011933174,0.599550056,0.455571751,0.469416332,0.010193347,
0.014303898,0.611338582,0.53199577,0.523432288,0.009346495,
0.138106603,0.593025871,0.566463746,0.530053381,0.011905194,
0.555714665,0.443262092,0.427448627,0.335457438,0.023510568,
0.687191726,0.287289089,0.408414073,0.207106204,0.404011346,
0.519809069,0.208098988,0.397553517,0.141233087,0.400630479,
0.038143728,0.282857143,0.354501891,0.171917573,0.157292607,
0.039777247,0.442069741,0.236931607,0.221969881,0.013338268,
0.041103156,0.41792276,0.25379405,0.213806119,0.03556364,
0.01716961,0.490438695,0.146331704,0.204741528,0,
0.01716961,0.56895388,0.244648318,0.321792989,0,
0.01716961,0.62424072,0.381630145,0.444255456,0,
0.01716961,0.603667041,0.445463812,0.46653368,0,
0.01716961,0.665504312,0.379801906,0.474155067,0,
0.01716961,0.600899887,0.554459974,0.528871042,0,
0.461506232,0.496265467,0.38149921,0.348096224,0.155730089,
0.653937948,0.235095613,0.412986939,0.170622632,0.432516714,
0.49451074,0.150506186,0.398125125,0.098331109,0.435421515,
0.396563246,0.29215598,0.371335753,0.188847527,0.285783419,
0.320127287,0.313160855,0.328103118,0.179067903,0.233101027,
0.061654733,0.379797525,0.279192508,0.200192342,0.077231063,
0,0.388751406,0.1460459,0.128227369,0.021728621,
0,0.435095613,0.262368173,0.231766396,0.008930845,
0.01716961,0.564637753,0.324673469,0.365846027,0,
0.099443119,0.530258717,0.462716854,0.421616097,0.011875538,
0.01716961,0.567169104,0.466136977,0.451349082,0,
0.30867144,0.499887514,0.508445512,0.425838732,0.121227617,
0.074461746,0.478597675,0.436603885,0.367397454,0.037059725,
0.545743835,0.337907761,0.47500643,0.28446489,0.32605337,
0.49451074,0.206299212,0.43670868,0.163021888,0.400281822,0.122430603
0.321426677,0.280532434,0.375175055,0.18238971,0.267674847,0.113380401
0.14956245,0.291563554,0.360684787,0.182108201,0.192975027,
0.015619199,0.350041244,0.269151257,0.171917573,0.081025831,
0.12046875,0.343982002,0.231787133,0.145286818,0.117099013,
0,0.402924634,0.206922176,0.174845267,0.022735895,
0.01716961,0.57118753,0.419917689,0.427051232,0,
0.01716961,0.60359955,0.515019006,0.507588959,0,
0.01716961,0.657367829,0.586041328,0.589930354,0,
0.198090692,0.487514061,0.557032211,0.445262856,0.099309896,
0.331291435,0.374218223,0.520477865,0.338599079,0.227971226,
0.291964996,0.259392576,0.463574267,0.218760678,0.290149077,
0.660302307,0.215073116,0.465574895,0.186668648,0.460398268,0.136316108
0.334579687,0.26495688,0.349776597,0.155685762,0.279495658,0.117873823
0.177406523,0.401349831,0.319528995,0.240211668,0.11133751,
0.136462477,0.359107611,0.335010051,0.217645903,0.131519331,
0.089101034,0.284364454,0.297807883,0.139544033,0.163926526,
0,0.379077615,0.175769528,0.138530601,0.034903705,
0.01716961,0.544819829,0.346059501,0.363605818,0,
0.01716961,0.687964004,0.561605076,0.598460078,0,
0.037814903,0.440870311,0.388398965,0.310584031,0.042990476,
0.181384248,0.383127109,0.513018377,0.340879302,0.164367217,
0.341156192,0.363059617,0.50600665,0.321669125,0.237327381,
0.591089897,0.152530933,0.388407785,0.094108473,0.467639778,0.15212452
0.587748608,0.154330708,0.384406528,0.093095548,0.464252368,0.085969235
