Date,DISCH,SEDM ,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
1/31/2015,17.21490194,270.309606,1781.4471,-4114.36,1573.6425,259.23734,909.7609,-159.75005,154.3940854
2/28/2015,11.0270813,159.9167683,2754.0342,-3454.7947,1213.7867,95.15773,576.45416,-172.78926,109.6460298
3/31/2015,2.084406067,31.01056814,-877.9935,-477.56027,171.52808,-692.04504,418.06497,-219.11401,96.49598251
4/30/2015,0.3481,7.383141016,-626.6048,1380.754,-722.78827,-747.2623,-488.01688,-270.48853,26.0430021
5/31/2015,7.932247127,237.0639887,-1576.8539,3375.1294,262.31482,-69.31266,-182.02226,-311.45923,85.67522709
6/30/2015,25.34206625,792.708676,4100.725,12561.124,5215.294,4802.6377,1218.9485,5153.047,232.6998228
