Date,DISCH
2010-11-30,27.82840331
2010-12-31,35.3138202
2011-01-31,26.25809741
2011-02-28,0.3481
2011-03-31,19.24734145
2011-04-30,0.3481
2011-05-31,14.56185955
2011-06-30,36.45069564
2011-07-31,51.70546756
2011-08-31,68.18999713
2011-09-30,45.94896045
2011-10-31,22.00633473
2011-11-30,28.15245887
2011-12-31,26.05210613
2012-01-31,3.398439634
2012-02-29,0.3481
2012-03-31,2.683451613
2012-04-30,2.489433333
2012-05-31,3.075645161
2012-06-30,5.7345
2012-07-31,92.9093135
2012-08-31,92.13473843
2012-09-30,36.38469832
2012-10-31,3.40397034
2012-11-30,8.495924873
2012-12-31,0.3481
2013-01-31,0.3481
2013-02-28,0.3481
2013-03-31,0.3481
2013-04-30,0.3481
2013-05-31,0.3481
2013-06-30,36.02671689
2013-07-31,99.44004974
2013-08-31,100.1055554
2013-09-30,65.82264755
2013-10-31,53.75282279
2013-11-30,18.04215989
2013-12-31,5.32624625
2014-01-31,2.394205443
2014-02-28,0.3481
2014-03-31,3.068850744
2014-04-30,0.3481
2014-05-31,28.12201135
2014-06-30,8.838686084
2014-07-31,75.04871398
2014-08-31,92.05485917
2014-09-30,61.67387448
2014-10-31,44.55973633
2014-11-30,18.91156191
2014-12-31,27.1761257
2015-01-31,5.557018202
2015-02-28,0.3481
2015-03-31,0.3481
2015-04-30,0.3481
2015-05-31,23.10054138
2015-06-30,52.57755737
2015-07-31,66.82284366
2015-08-31,105.8278665
2015-09-30,64.38208704
2015-10-31,25.85613384
2015-11-30,30.47989951
2015-12-31,37.90456553
2016-01-31,8.344730175
2016-02-29,0.3481
2016-03-31,0.3481
2016-04-30,10.19745356
2016-05-31,38.00553022
2016-06-30,54.72110363
2016-07-31,107.4869361
2016-08-31,110.4367941
2016-09-30,65.2177927
2016-10-31,47.57798989
2016-11-30,84.49593333
2016-12-31,21.32941935
2017-01-31,8.310903226
2017-02-28,0.3481
2017-03-31,4.657870968
2017-04-30,12.4796
2017-05-31,19.7316129
2017-06-30,19.8288
2017-07-31,186.4470968
2017-08-31,106.710862
2017-09-30,83.24333431
2017-10-31,50.50714847
2017-11-30,20.38016667
2017-12-31,10.25787097
