Date,DMAX,DMIN,MMAX,MMIN,BMAX,BMIN
9/30/2000,19.82,9.206666667,24.91666667,8.8,26.25333333,12.66
10/31/2000,19.81290323,9.141935484,25.59032258,9.390322581,26.61,13.3
11/30/2000,21.39333333,8.24,27.09333333,6.316666667,27.19666667,8.953333333
12/31/2000,22.56774194,7.596774194,27.52903226,4.322580645,27.80322581,6.322580645
1/31/2001,22.80645161,6.912903226,27.92903226,2.696774194,27.42903226,4.458064516
2/28/2001,25.00357143,9.5,29.85714286,6.646428571,30.33571429,8.328571429
3/31/2001,24.12258065,10.55806452,27.84516129,8.335483871,30.23225806,11.83225806
4/30/2001,25.25333333,11.45666667,28.95333333,9.71,31.91,13.17666667
5/31/2001,23.63548387,11.69677419,27.27741935,10.30967742,31.1,14.26451613
6/30/2001,20.1,10.25666667,21.84347826,10.77,26.58333333,14.20666667
7/31/2001,18.4483871,10.10967742,21.78387097,11.42258065,24.92258065,14.44516129
8/31/2001,18.33870968,10.42580645,21.63548387,11.41935484,24.94516129,13.81290323
9/30/2001,20.41666667,9.013333333,24.16,10.21666667,26.01333333,12.76333333
10/31/2001,21.82580645,9.058064516,25.92258065,8.858064516,27.28709677,13.04516129
11/30/2001,22.01333333,7.42,26.47,5.043333333,27.13333333,9.553333333
12/31/2001,22.79354839,7.980645161,27.32258065,5.512903226,28.38387097,9.264516129
1/31/2002,22.94193548,7.74516129,27.20322581,5.751612903,28.56129032,7.561290323
2/28/2002,25.07857143,9.221428571,29.73214286,7.55,30.58571429,9.55
3/31/2002,24.55483871,10.52258065,29.16129032,9.041935484,31.28709677,12.04516129
4/30/2002,24.90333333,10.87333333,29.73666667,9.683333333,32.42666667,13.52068966
5/31/2002,25.45806452,11.92258065,29.53870968,10.38709677,32.13225806,14.76129032
6/30/2002,22.05333333,10.47666667,25.04,11.19,28.62333333,14.58333333
7/31/2002,20.18709677,10.03870968,23.11935484,10.30645161,26.11290323,13.93870968
8/31/2002,19.66129032,9.587096774,22.32258065,10.55806452,25.23870968,13.9483871
9/30/2002,20.53333333,9.026923077,23.36333333,8.57,26.09333333,12.36
10/31/2002,22.86451613,7.716129032,26.29354839,6.548387097,28.07741935,11.83548387
11/30/2002,23.14,7.756666667,28.22333333,6.306666667,28.37333333,9.69
12/31/2002,22.92903226,7.419354839,27.87096774,5.812903226,28.15483871,6.738709677
1/31/2003,23.72258065,7.283870968,28.58064516,5,28.85806452,5.648387097
2/28/2003,24.46785714,9.296428571,29.825,8.207142857,31.13214286,9.782142857
3/31/2003,24.45,10.46,28.28064516,10.02903226,32.11935484,14.24516129
4/30/2003,25.39333333,10.87333333,29.53333333,9.723333333,32.26333333,13.23666667
5/31/2003,26,12.24516129,29.82903226,10.86451613,32.8,16.22258065
6/30/2003,22.44,10.65666667,25.14333333,10.77333333,28.51666667,14.80666667
7/31/2003,18.53548387,9.290322581,21.72258065,11.26451613,24.39032258,14.18064516
8/31/2003,18.77419355,9.470967742,22.21612903,11.14516129,24.60322581,14.32903226
9/30/2003,20.06206897,9.121428571,23.65333333,8.386666667,25.68333333,13.14666667
10/31/2003,21.88387097,8.361290323,27.39032258,6.251612903,27.52903226,12.21935484
11/30/2003,22.28,8.09,29.45333333,4.68,28.23666667,9.99
12/31/2003,22.38064516,7.893548387,28.59032258,4.090322581,28.52258065,6.338709677
1/31/2004,23.65806452,8.683870968,29.26129032,5.438709677,29.1516129,6.996774194
2/29/2004,23.89310345,8.289655172,29.83793103,6.065517241,30.06551724,8.1
3/31/2004,24.96129032,10.71612903,30.56129032,8.65483871,31.68709677,11.57741935
4/30/2004,23.15333333,11.22333333,27.66333333,11.03666667,30.51,14.08
5/31/2004,25.86774194,11.07419355,29.55806452,9.425806452,31.96774194,13.83225806
6/30/2004,21.75333333,10.31333333,24.77333333,10.85666667,28.225,14.22333333
7/31/2004,19.60645161,9.9,22.53870968,9.651612903,25.42666667,13.56451613
8/31/2004,19.25806452,9.764516129,22.82258065,10.90645161,25.01935484,13.9483871
9/30/2004,20.89333333,9.1,24.22,9.166666667,25.95333333,12.64666667
10/31/2004,21.40645161,7.641935484,27.10967742,6.14516129,27.30322581,11.46451613
11/30/2004,22.34,7.93,28.53,5.776666667,27.7,10.5
12/31/2004,22.39677419,7.919354839,28.65806452,5.438709677,28.29032258,7.65483871
1/31/2005,22.81612903,7.390322581,27.92580645,4.493548387,28.24193548,5.619354839
2/28/2005,25.9,10.16428571,31.18214286,6.871428571,31.79285714,8.196428571
3/31/2005,24.94193548,10.45806452,29.46451613,9.622580645,31.33548387,11.74516129
4/30/2005,25.50666667,11.98333333,29.44666667,10.81333333,32.01666667,13.21
5/31/2005,24.63548387,11.4483871,27.6483871,10.1483871,30.41290323,11.7483871
6/30/2005,23.06666667,10.66,26.09666667,10.83333333,28.87333333,13.94666667
7/31/2005,18.1483871,9.348387097,21.54193548,10.83870968,24.1,13.87741935
8/31/2005,19.61290323,8.774193548,23.16451613,11.02580645,26.11612903,14.02258065
9/30/2005,20.18666667,9.533333333,,,25.62666667,13.57333333
10/31/2005,21.56451613,8.538709677,26.8483871,8.1,27.13214286,12.248
11/30/2005,22.41,7.473333333,,,28.90333333,8.88
