date,DISCH
2/29/2008,7.056687491
3/31/2008,5.162399653
4/30/2008,3.478963669
5/31/2008,4.554291102
6/30/2008,16.81886308
7/31/2008,67.9435154
8/31/2008,113.7672029
9/30/2008,136.3749141
10/31/2008,88.25459148
11/30/2008,46.12744162
12/31/2008,17.00020809
1/31/2009,16.73030108
2/28/2009,12.92860699
3/31/2009,6.532184954
4/30/2009,2.333684444
5/31/2009,0.3481
6/30/2009,1.396284058
7/31/2009,37.38689589
8/31/2009,85.30132428
9/30/2009,113.2834069
10/31/2009,82.08066172
11/30/2009,35.91549538
12/31/2009,10.47571041
1/31/2010,9.30900433
2/28/2010,7.55974228
3/31/2010,3.969260583
4/30/2010,0.3481
5/31/2010,0.3481
6/30/2010,15.06479943
7/31/2010,48.18294016
8/31/2010,78.16878738
9/30/2010,82.75052888
10/31/2010,62.05481232
11/30/2010,41.2290662
12/31/2010,33.58586534
1/31/2011,29.80010697
2/28/2011,20.64000587
3/31/2011,15.28451295
4/30/2011,6.64784715
5/31/2011,11.385767
6/30/2011,17.1202184
7/31/2011,34.23934092
8/31/2011,52.11538678
9/30/2011,55.28147505
10/31/2011,45.3817641
11/30/2011,32.03591802
12/31/2011,25.40363324
1/31/2012,19.20100154
2/29/2012,9.932881921
3/31/2012,2.143330416
4/30/2012,1.840328315
5/31/2012,2.749510036
6/30/2012,3.766526165
7/31/2012,33.90648622
8/31/2012,63.59285064
9/30/2012,73.80958342
10/31/2012,43.97446903
11/30/2012,16.09486451
12/31/2012,4.082665071
1/31/2013,3.064041624
2/28/2013,0.3481
3/31/2013,0.3481
4/30/2013,0.3481
5/31/2013,0.3481
6/30/2013,12.2409723
7/31/2013,45.27162221
8/31/2013,78.52410734
9/30/2013,88.45608423
10/31/2013,73.22700858
11/30/2013,45.87254341
12/31/2013,25.70707631
1/31/2014,8.587537194
2/28/2014,2.689517231
3/31/2014,1.937052062
4/30/2014,1.255016915
5/31/2014,10.51298736
6/30/2014,12.43626581
7/31/2014,37.33647047
8/31/2014,58.64741974
9/30/2014,76.25914921
10/31/2014,66.09615666
11/30/2014,41.71505757
12/31/2014,30.21580798
1/31/2015,17.21490194
2/28/2015,11.0270813
3/31/2015,2.084406067
4/30/2015,0.3481
5/31/2015,7.932247127
6/30/2015,25.34206625
7/31/2015,47.50031414
8/31/2015,75.07608918
9/30/2015,79.0109324
10/31/2015,65.35536246
11/30/2015,40.23937346
12/31/2015,31.41353296
1/31/2016,25.5763984
2/29/2016,15.53246523
3/31/2016,3.013643392
4/30/2016,3.631217853
5/31/2016,16.18369459
6/30/2016,34.30802914
7/31/2016,66.73785665
8/31/2016,90.88161128
9/30/2016,94.38050763
10/31/2016,74.4108589
11/30/2016,65.76390531
