Date ,PRECP_AG,PRECP_DT,PRECP_MK,PRECP_BD,PRECP_GM
8-May,3.464516129,6.822580645,5.751612903,3.15483871,3.464516129
8-Jun,,6.98,6.45,9.76,5.527945109
8-Jul,6.935483871,12.14193548,10.64516129,23.40322581,6.935483871
8-Aug,7.558064516,10.70322581,9.806451613,13.14516129,7.558064516
8-Sep,1.506666667,7.62,3.58,6.986666667,1.506666667
8-Oct,1.232258065,1.670967742,3.077419355,1.919354839,1.232258065
8-Nov,0,0.083333333,0.513333333,0.38,0
8-Dec,0,0.596774194,0.006451613,0,0
9-Jan,,0,0,0,1.33762852
9-Feb,,0.071428571,0.942857143,0,1.294625646
9-Mar,0,2.038709677,1.838709677,0.212903226,0.3481
9-Apr,0,0.193333333,0.393333333,0.096666667,0.3481
9-May,0,0.929032258,0.741935484,0.441935484,0.3481
9-Jun,3.176666667,2.226666667,0,1.983333333,3.176666667
9-Jul,3.641935484,13.17096774,14.26774194,13.52580645,3.641935484
9-Aug,3.519354839,13.24193548,8.187096774,14.49,3.519354839
9-Sep,4.87,4.073333333,2.71,2.583333333,4.87
9-Oct,0.948387097,3.496774194,3.503225806,1.758064516,0.948387097
9-Nov,0,0.533333333,0.96,0.043333333,0
9-Dec,0,0.064516129,0.483870968,0,0
10-Jan,0,0.422580645,0.709677419,0.429032258,0
10-Feb,0,0,0,,0.3481
10-Mar,0.7,1.161290323,0.938709677,,0.3481
10-Apr,0,1.736666667,2.086666667,,0.3481
10-May,2.016129032,2.106451613,2.732258065,,0.3481
10-Jun,9.353333333,5.56,5.83,5.943333333,9.353333333
10-Jul,,16.10645161,16.48709677,17.52580645,8.815675754
10-Aug,,17.02903226,10.40967742,19.55806452,7.886166472
10-Sep,4.046666667,6.766666667,7.76,6.8,4.046666667
10-Oct,,1.335483871,0.777419355,3.509677419,3.569372796
10-Nov,,0.54,1.466666667,0.02,2.608438736
10-Dec,,0.312903226,0.458064516,,3.138586176
11-Jan,,0.358064516,0.906451613,0.051612903,2.492700575
11-Feb,,0,0.010714286,0,0.3481
11-Mar,,1.416129032,1.141935484,0.893333333,2.336047222
11-Apr,,0.696666667,0.67,0.19,0.3481
