Date,DISCH,SEDM ,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
6/30/2013,12.2409723,389.1228492,5973.25,17897.484,6386.2383,7652.968,6759.3623,4430.145,284.9817357
7/31/2013,45.27162221,19370.27464,21185.127,32356.086,18281.336,19312.045,18439.656,19613.494,19956.41477
8/31/2013,78.52411,27061.06,31777.46,25782.17,29355.78,29157.11,27428.15,31056.62,27808.91
9/30/2013,88.45608,31980.67,30175.1,12387.18,27037.44,28031.12,24332.96,27696.89,29581.33
10/31/2013,73.22701,13373.34,14932.76,6046.005,15281.33,14989.67,10501.8,13944.14,15389.84
11/30/2013,45.87254,5785.982,5066.627,-21.2328,5419.735,4519.044,4538.165,4991.926,5660.028
12/31/2013,25.70708,509.6442,1734.896,-3324.52,1181.25,-170.795,1157.15,-71.1468,432.5388
