Date,SEDM
2007-12-31,115.9004469
2008-01-31,141.4631745
2008-02-29,48.82082343
2008-03-31,51.14114255
2008-04-30,128.1435902
2008-05-31,198.9057298
2008-06-30,1245.258647
2008-07-31,90557.69705
2008-08-31,67900.28748
2008-09-30,25837.44711
2008-10-31,289.353183
2008-11-30,314.8242828
2008-12-31,283.577523
2009-01-31,187.0197169
2009-02-28,90.6827559
2009-03-31,7.732645836
2009-04-30,9.410052126
2009-05-31,10.45856659
2009-06-30,111.2457217
2009-07-31,62038.69293
2009-08-31,47487.39951
2009-09-30,21129.982
2009-10-31,309.5162786
2009-11-30,99.47641171
2009-12-31,161.396016
2010-01-31,161.9940818
2010-02-28,5.006725085
2010-03-31,7.732645836
2010-04-30,9.410052126
2010-05-31,10.45856659
2010-06-30,1417.328133
2010-07-31,57103.19277
2010-08-31,26723.39658
2010-09-30,14074.77078
2010-10-31,791.3816973
2010-11-30,494.6972884
2010-12-31,512.5668222
2011-01-31,379.398418
2011-02-28,5.006725085
2011-03-31,427.557813
2011-04-30,9.410052126
2011-05-31,437.5069742
2011-06-30,1161.004229
2011-07-31,29613.5666
2011-08-31,15723.57083
2011-09-30,11103.76168
2011-10-31,462.986523
2011-11-30,500.4579282
2011-12-31,378.1365249
2012-01-31,49.10342896
2012-02-29,5.006725085
2012-03-31,59.60982746
2012-04-30,67.29588459
2012-05-31,92.40689374
2012-06-30,182.6516239
2012-07-31,53212.47971
2012-08-31,21244.8621
2012-09-30,8792.517065
2012-10-31,71.61539673
2012-11-30,151.0295417
2012-12-31,5.052540614
2013-01-31,5.02963285
2013-02-28,5.006725085
2013-03-31,7.732645836
2013-04-30,9.410052126
2013-05-31,10.45856659
2013-06-30,1147.499929
2013-07-31,56952.86543
2013-08-31,23082.81063
2013-09-30,15906.32267
2013-10-31,1130.894028
2013-11-30,320.7301359
2013-12-31,77.30846165
2014-01-31,34.59343391
2014-02-28,5.006725085
2014-03-31,68.1710311
2014-04-30,9.410052126
2014-05-31,844.9179209
2014-06-30,281.5241724
2014-07-31,42983.07693
2014-08-31,19195.51114
2014-09-30,14903.75402
2014-10-31,937.4826677
2014-11-30,336.1852383
2014-12-31,394.4512463
2015-01-31,80.29233351
2015-02-28,5.006725085
2015-03-31,7.732645836
2015-04-30,9.410052126
2015-05-31,694.049268
2015-06-30,1674.666708
2015-07-31,38271.82743
2015-08-31,32507.66542
2015-09-30,19059.57265
2015-10-31,543.9816149
2015-11-30,541.8321515
2015-12-31,550.1705166
2016-01-31,120.5714709
2016-02-29,5.006725085
2016-03-31,7.732645836
2016-04-30,275.6638022
2016-05-31,1141.865465
2016-06-30,1742.941571
2016-07-31,54523.80182
2016-08-31,39214.45026
2016-09-30,15760.15693
2016-10-31,1000.983052
2016-11-30,1502.059196
2016-12-31,309.588502
2017-01-31,120.0827115
2017-02-28,5.006725085
2017-03-31,103.4693092
2017-04-30,337.3561807
2017-05-31,592.8307595
2017-06-30,631.5742472
2017-07-31,106784.9065
2017-08-31,24605.89335
2017-09-30,20116.10571
2017-10-31,1062.608987
2017-11-30,362.2921904
2017-12-31,148.8891402
