Date,DISCH,SEDM ,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
1/31/2013,3.064041624,53.70390505,-498.07053,-4411.338,-138.79266,-685.1359,784.95166,-357.22687,115.3894355
2/28/2013,0.3481,5.02963285,-1801.3177,-2297.347,55.28676,-651.8976,357.55463,-370.08792,50.11074419
3/31/2013,0.3481,5.923001257,773.6316,2383.669,-44.425163,-480.0289,-379.04608,-325.85916,26.24569241
4/30/2013,0.3481,7.383141016,1238.1083,3552.3662,-51.440105,-510.20734,-164.43527,-427.98114,64.48320057
5/31/2013,0.3481,9.200421517,-113.714264,3073.936,777.17816,-772.3772,-961.8584,-575.87555,180.1624112
6/30/2013,12.2409723,389.1228492,5973.25,17897.484,6386.2383,7652.968,6759.3623,4430.145,284.9817357
